school,conference,school_id,year,division,conference_id
A&M-Corpus Christi,Independent,26172,2003,1,0
A&M-Corpus Christi,Independent,26172,2004,1,0
A&M-Corpus Christi,Independent,26172,2005,1,0
A&M-Corpus Christi,Independent,26172,2006,1,0
A&M-Corpus Christi,Southland,26172,2007,1,914
A&M-Corpus Christi,Southland,26172,2008,1,914
A&M-Corpus Christi,Southland,26172,2009,1,914
A&M-Corpus Christi,Southland,26172,2010,1,914
A&M-Corpus Christi,Southland,26172,2011,1,914
A&M-Corpus Christi,Southland,26172,2012,1,914
A&M-Corpus Christi,Southland,26172,2013,1,914
A&M-Corpus Christi,Southland,26172,2014,1,914
A&M-Corpus Christi,Southland,26172,2015,1,914
A&M-Corpus Christi,Southland,26172,2016,1,914
A&M-Corpus Christi,Southland,26172,2017,1,914
A&M-Corpus Christi,Southland,26172,2018,1,914
A&M-Corpus Christi,Southland,26172,2019,1,914
Abilene Christian,Southland,2,2014,1,914
Abilene Christian,Southland,2,2015,1,914
Abilene Christian,Southland,2,2016,1,914
Abilene Christian,Southland,2,2017,1,914
Abilene Christian,Southland,2,2018,1,914
Abilene Christian,Southland,2,2019,1,914
Air Force,MWC,721,2002,1,5486
Air Force,MWC,721,2003,1,5486
Air Force,MWC,721,2004,1,5486
Air Force,MWC,721,2005,1,5486
Air Force,MWC,721,2006,1,5486
Air Force,MWC,721,2007,1,5486
Air Force,MWC,721,2008,1,5486
Air Force,MWC,721,2009,1,5486
Air Force,MWC,721,2010,1,5486
Air Force,MWC,721,2011,1,5486
Air Force,MWC,721,2012,1,5486
Air Force,MWC,721,2013,1,5486
Air Force,MWC,721,2014,1,5486
Air Force,MWC,721,2015,1,5486
Air Force,MWC,721,2016,1,5486
Air Force,MWC,721,2017,1,5486
Air Force,MWC,721,2018,1,5486
Air Force,MWC,721,2019,1,5486
Akron,MAC,5,2002,1,875
Akron,MAC,5,2003,1,875
Akron,MAC,5,2004,1,875
Akron,MAC,5,2005,1,875
Akron,MAC,5,2006,1,875
Akron,MAC,5,2007,1,875
Akron,MAC,5,2008,1,875
Akron,MAC,5,2009,1,875
Akron,MAC,5,2010,1,875
Akron,MAC,5,2011,1,875
Akron,MAC,5,2012,1,875
Akron,MAC,5,2013,1,875
Akron,MAC,5,2014,1,875
Akron,MAC,5,2015,1,875
Akron,MAC,5,2016,1,875
Alabama,SEC,8,2002,1,911
Alabama,SEC,8,2003,1,911
Alabama,SEC,8,2004,1,911
Alabama,SEC,8,2005,1,911
Alabama,SEC,8,2006,1,911
Alabama,SEC,8,2007,1,911
Alabama,SEC,8,2008,1,911
Alabama,SEC,8,2009,1,911
Alabama,SEC,8,2010,1,911
Alabama,SEC,8,2011,1,911
Alabama,SEC,8,2012,1,911
Alabama,SEC,8,2013,1,911
Alabama,SEC,8,2014,1,911
Alabama,SEC,8,2015,1,911
Alabama,SEC,8,2016,1,911
Alabama,SEC,8,2017,1,911
Alabama,SEC,8,2018,1,911
Alabama,SEC,8,2019,1,911
Alabama A&M,SWAC,6,2002,1,916
Alabama A&M,SWAC,6,2003,1,916
Alabama A&M,SWAC,6,2004,1,916
Alabama A&M,SWAC,6,2005,1,916
Alabama A&M,SWAC,6,2006,1,916
Alabama A&M,SWAC,6,2007,1,916
Alabama A&M,SWAC,6,2008,1,916
Alabama A&M,SWAC,6,2009,1,916
Alabama A&M,SWAC,6,2010,1,916
Alabama A&M,SWAC,6,2011,1,916
Alabama A&M,SWAC,6,2012,1,916
Alabama A&M,SWAC,6,2013,1,916
Alabama A&M,SWAC,6,2014,1,916
Alabama A&M,SWAC,6,2015,1,916
Alabama A&M,SWAC,6,2016,1,916
Alabama A&M,SWAC,6,2017,1,916
Alabama A&M,SWAC,6,2018,1,916
Alabama A&M,SWAC,6,2019,1,916
Alabama St.,SWAC,7,2002,1,916
Alabama St.,SWAC,7,2003,1,916
Alabama St.,SWAC,7,2004,1,916
Alabama St.,SWAC,7,2005,1,916
Alabama St.,SWAC,7,2006,1,916
Alabama St.,SWAC,7,2007,1,916
Alabama St.,SWAC,7,2008,1,916
Alabama St.,SWAC,7,2009,1,916
Alabama St.,SWAC,7,2010,1,916
Alabama St.,SWAC,7,2011,1,916
Alabama St.,SWAC,7,2012,1,916
Alabama St.,SWAC,7,2013,1,916
Alabama St.,SWAC,7,2014,1,916
Alabama St.,SWAC,7,2015,1,916
Alabama St.,SWAC,7,2016,1,916
Alabama St.,SWAC,7,2017,1,916
Alabama St.,SWAC,7,2018,1,916
Alabama St.,SWAC,7,2019,1,916
Albany (NY),America East,14,2002,1,845
Albany (NY),America East,14,2003,1,845
Albany (NY),America East,14,2004,1,845
Albany (NY),America East,14,2005,1,845
Albany (NY),America East,14,2006,1,845
Albany (NY),America East,14,2007,1,845
Albany (NY),America East,14,2008,1,845
Albany (NY),America East,14,2009,1,845
Albany (NY),America East,14,2010,1,845
Albany (NY),America East,14,2011,1,845
Albany (NY),America East,14,2012,1,845
Albany (NY),America East,14,2013,1,845
Albany (NY),America East,14,2014,1,845
Albany (NY),America East,14,2015,1,845
Albany (NY),America East,14,2016,1,845
Albany (NY),America East,14,2017,1,845
Albany (NY),America East,14,2018,1,845
Albany (NY),America East,14,2019,1,845
Alcorn,SWAC,17,2002,1,916
Alcorn,SWAC,17,2003,1,916
Alcorn,SWAC,17,2004,1,916
Alcorn,SWAC,17,2005,1,916
Alcorn,SWAC,17,2006,1,916
Alcorn,SWAC,17,2007,1,916
Alcorn,SWAC,17,2008,1,916
Alcorn,SWAC,17,2009,1,916
Alcorn,SWAC,17,2010,1,916
Alcorn,SWAC,17,2011,1,916
Alcorn,SWAC,17,2012,1,916
Alcorn,SWAC,17,2013,1,916
Alcorn,SWAC,17,2014,1,916
Alcorn,SWAC,17,2015,1,916
Alcorn,SWAC,17,2016,1,916
Alcorn,SWAC,17,2017,1,916
Alcorn,SWAC,17,2018,1,916
Alcorn,SWAC,17,2019,1,916
Appalachian St.,SoCon,27,2002,1,912
Appalachian St.,SoCon,27,2003,1,912
Appalachian St.,SoCon,27,2004,1,912
Appalachian St.,SoCon,27,2005,1,912
Appalachian St.,SoCon,27,2006,1,912
Appalachian St.,SoCon,27,2007,1,912
Appalachian St.,SoCon,27,2008,1,912
Appalachian St.,SoCon,27,2009,1,912
Appalachian St.,SoCon,27,2010,1,912
Appalachian St.,SoCon,27,2011,1,912
Appalachian St.,SoCon,27,2012,1,912
Appalachian St.,SoCon,27,2013,1,912
Appalachian St.,SoCon,27,2014,1,912
Appalachian St.,Sun Belt,27,2015,1,818
Appalachian St.,Sun Belt,27,2016,1,818
Appalachian St.,Sun Belt,27,2017,1,818
Appalachian St.,Sun Belt,27,2018,1,818
Appalachian St.,Sun Belt,27,2019,1,818
Arizona,Pac-12,29,2002,1,905
Arizona,Pac-12,29,2003,1,905
Arizona,Pac-12,29,2004,1,905
Arizona,Pac-12,29,2005,1,905
Arizona,Pac-12,29,2006,1,905
Arizona,Pac-12,29,2007,1,905
Arizona,Pac-12,29,2008,1,905
Arizona,Pac-12,29,2009,1,905
Arizona,Pac-12,29,2010,1,905
Arizona,Pac-12,29,2011,1,905
Arizona,Pac-12,29,2012,1,905
Arizona,Pac-12,29,2013,1,905
Arizona,Pac-12,29,2014,1,905
Arizona,Pac-12,29,2015,1,905
Arizona,Pac-12,29,2016,1,905
Arizona,Pac-12,29,2017,1,905
Arizona,Pac-12,29,2018,1,905
Arizona,Pac-12,29,2019,1,905
Arizona St.,Pac-12,28,2002,1,905
Arizona St.,Pac-12,28,2003,1,905
Arizona St.,Pac-12,28,2004,1,905
Arizona St.,Pac-12,28,2005,1,905
Arizona St.,Pac-12,28,2006,1,905
Arizona St.,Pac-12,28,2007,1,905
Arizona St.,Pac-12,28,2008,1,905
Arizona St.,Pac-12,28,2009,1,905
Arizona St.,Pac-12,28,2010,1,905
Arizona St.,Pac-12,28,2011,1,905
Arizona St.,Pac-12,28,2012,1,905
Arizona St.,Pac-12,28,2013,1,905
Arizona St.,Pac-12,28,2014,1,905
Arizona St.,Pac-12,28,2015,1,905
Arizona St.,Pac-12,28,2016,1,905
Arizona St.,Pac-12,28,2017,1,905
Arizona St.,Pac-12,28,2018,1,905
Arizona St.,Pac-12,28,2019,1,905
Ark.-Pine Bluff,SWAC,2678,2002,1,916
Ark.-Pine Bluff,SWAC,2678,2003,1,916
