home,home_abb,home_seed,home_score,away,away_abb,away_seed,away_score,location,innings,date,year,home_conf,away_conf
Furman,FURM,NA,5,NA,NA,NA,7,NA,9,2015-02-13,2015,SoCon,NA
Ga. Southern,GASO,NA,3,Bethune-Cookman,BCU,NA,0,NA,9,2015-02-13,2015,Sun Belt,MEAC
Auburn,AUB,NA,2,Binghamton,BING,NA,0,NA,9,2015-02-13,2015,SEC,America East
Wofford,WOF,NA,8,Boston College,BC,NA,4,NA,9,2015-02-13,2015,SoCon,ACC
UC Santa Barbara,UCSB,NA,8,BYU,BYU,NA,1,NA,9,2015-02-13,2015,Big West,WCC
Baylor,BAY,NA,8,Cal Poly,CP,NA,6,NA,9,2015-02-13,2015,Big 12,Big West
Texas St.,TXST,NA,7,UC Davis,UCD,NA,10,NA,10,2015-02-13,2015,Sun Belt,Big West
Fresno St.,FRES,NA,5,UC Irvine,UCI,NA,4,NA,9,2015-02-13,2015,MWC,Big West
FGCU,FGCU,NA,0,Central Mich.,CMU,NA,2,NA,9,2015-02-13,2015,ASUN,MAC
Charleston So.,CHSO,NA,8,Chicago St.,CSU,NA,1,NA,9,2015-02-13,2015,Big South,WAC
Mississippi St.,MSST,NA,6,Cincinnati,UC,NA,2,NA,9,2015-02-13,2015,SEC,AAC
Fla. Atlantic,FAU,NA,16,UConn,CONN,NA,5,NA,9,2015-02-13,2015,C-USA,AAC
CSU Bakersfield,CSUB,NA,0,Creighton,CREI,NA,5,NA,9,2015-02-13,2015,WAC,Big East
USC Upstate,USCU,NA,11,Dayton,DAY,NA,4,NA,9,2015-02-13,2015,ASUN,Atlantic 10
Presbyterian,PRES,NA,13,Delaware St.,DEST,NA,6,NA,9,2015-02-13,2015,Big South,MEAC
Wake Forest,WF,NA,3,Delaware,DEL,NA,2,NA,9,2015-02-13,2015,ACC,CAA
California,CAL,NA,1,Duke,DUKE,NA,7,NA,9,2015-02-13,2015,Pac-12,ACC
Georgia,UGA,NA,18,Eastern Ill.,EIU,NA,3,NA,9,2015-02-13,2015,SEC,OVC
ETSU,ETSU,NA,7,Eastern Ky.,EKU,NA,3,NA,9,2015-02-13,2015,SoCon,OVC
Arizona,ARIZ,NA,7,Eastern Mich.,EMU,NA,3,NA,9,2015-02-13,2015,Pac-12,MAC
Little Rock,LR,NA,6,Evansville,EVAN,NA,3,NA,9,2015-02-13,2015,Sun Belt,MVC
Georgia St.,GAST,NA,11,Fordham,FORD,NA,3,NA,9,2015-02-13,2015,Sun Belt,Atlantic 10
UCLA,UCLA,NA,14,Hofstra,HOF,NA,2,NA,9,2015-02-13,2015,Pac-12,CAA
Texas A&M,TAMU,NA,19,Holy Cross,HC,NA,2,NA,9,2015-02-13,2015,SEC,Patriot
Arkansas St.,ARST,NA,0,Illinois St.,ILST,NA,3,NA,9,2015-02-13,2015,Sun Belt,MVC
La.-Monroe,ULM,NA,6,Indiana St.,INST,NA,11,NA,9,2015-02-13,2015,Sun Belt,MVC
Stanford,STAN,NA,2,Indiana,IU,NA,4,NA,9,2015-02-13,2015,Pac-12,Big Ten
Gardner-Webb,GW,NA,6,James Madison,JMU,NA,9,NA,9,2015-02-13,2015,Big South,CAA
LSU,LSU,NA,4,Kansas,KU,NA,1,NA,9,2015-02-13,2015,SEC,Big 12
Winthrop,WIN,NA,9,Kent St.,KENT,NA,1,NA,9,2015-02-13,2015,Big South,MAC
Stetson,STE,NA,0,La Salle,LS,NA,3,NA,9,2015-02-13,2015,ASUN,Atlantic 10
Kennesaw St.,KENN,NA,11,Liberty,LIB,NA,9,NA,9,2015-02-13,2015,ASUN,Big South
Tennessee Tech,TNTC,NA,2,Longwood,LU,NA,8,NA,9,2015-02-13,2015,OVC,Big South
Southeastern La.,SELA,NA,5,Louisiana Tech,LTU,NA,4,NA,9,2015-02-13,2015,Southland,C-USA
Florida A&M,FAMU,NA,4,Marshall,MRSH,NA,3,NA,9,2015-02-13,2015,MEAC,C-USA
Alabama,ALA,NA,6,UMES,UMES,NA,0,NA,9,2015-02-13,2015,SEC,MEAC
Long Beach St.,LBST,NA,3,Michigan,UM,NA,2,NA,9,2015-02-13,2015,Big West,Big Ten
Jacksonville,JAC,NA,2,Middle Tenn.,MTU,NA,7,NA,9,2015-02-13,2015,ASUN,C-USA
Houston,UH,NA,9,Minnesota,MIN,NA,1,NA,9,2015-02-13,2015,AAC,Big Ten
DBU,DBU,NA,15,Monmouth,MON,NA,1,NA,9,2015-02-13,2015,MVC,MAAC
